,0
0,198.68452132352942
1,198.72505220588235
2,199.0301463235294
3,199.87827573529412
4,200.01291470588237
5,198.38854191176472
6,193.24909117647059
7,190.60101617647058
8,190.71129779411766
9,191.86124264705882
10,193.29744779411766
11,194.55688161764706
12,195.67033529411765
13,196.5182882352941
14,196.86449779411765
15,196.82239852941177
16,196.7222455882353
17,197.0402632352941
18,197.9381242647059
19,198.86102205882352
20,199.78606544117648
21,201.3047551470588
22,202.52340661764705
23,203.4762698529412
24,202.20399044117647
25,200.8407625
26,200.84958529411765
27,198.9986330882353
28,194.04621544117646
29,190.33237279411765
30,193.9070463235294
31,197.0921375
32,197.91268970588234
33,198.19810955882352
34,198.38244852941176
35,198.70064044117646
36,199.14761176470589
37,199.0912544117647
38,199.2357867647059
39,199.39127279411764
40,199.3432088235294
41,199.11946323529412
42,198.9644948529412
43,198.22884852941178
44,196.94409264705882
45,196.13030220588234
46,195.77380073529412
47,195.32113455882353
48,194.92391617647058
49,192.54494632352942
50,185.94234852941176
51,188.5441036764706
52,192.1427455882353
53,195.16168529411766
54,197.2634411764706
55,198.394475
56,199.94434852941177
57,201.0994205882353
58,201.1715963235294
59,200.81201838235293
60,200.70430588235294
61,200.9001963235294
62,201.04374411764707
63,200.97512205882353
64,200.89553014705882
65,200.44781397058824
66,199.93785294117646
67,199.32479044117648
68,198.70201397058824
69,198.26030588235295
70,197.64987941176472
71,196.63939926470587
72,190.35248676470587
73,187.10340514705882
74,190.1577161764706
75,193.46598014705881
76,196.05999779411763
77,197.6658411764706
78,199.5352882352941
79,200.86550073529412
80,201.3199088235294
81,201.2650088235294
82,201.2006455882353
83,201.34161617647058
84,201.4693044117647
85,201.23357573529412
86,200.3958544117647
87,199.1655786764706
88,198.68788529411765
89,198.48360514705882
90,198.29956911764705
91,198.1992
92,198.29929338235294
93,198.4816705882353
94,198.48620955882353
95,194.56791176470588
96,187.91900147058823
97,189.68074411764707
98,192.842275
99,195.38111323529412
100,197.69347205882352
101,199.03517720588235
102,200.41714044117646
103,200.99601470588235
104,200.92620367647058
105,200.8261198529412
106,200.94543161764705
107,201.36043897058823
108,201.75544044117646
109,201.22311838235294
110,200.41804926470587
111,199.64117205882354
112,199.16371323529413
113,198.79970073529412
114,198.74477132352942
115,199.07305294117646
116,199.3540794117647
117,199.57726397058823
118,196.44205294117648
119,189.24426911764706
120,189.80524705882354
121,192.3206411764706
122,195.40339705882354
123,197.14721985294116
124,198.60453455882353
125,199.75857352941176
126,200.5611911764706
127,200.58313897058824
128,200.4681794117647
129,200.63011985294116
130,201.24310955882353
131,201.45468161764705
132,201.6681955882353
133,201.3326669117647
134,200.58660882352942
135,199.54104338235294
136,199.01231029411764
137,198.6588117647059
138,198.59098529411764
139,198.6095551470588
140,197.62961397058822
141,191.35315955882353
142,190.66762058823528
143,191.94638235294119
144,194.6701044117647
145,196.37759926470588
146,197.54774191176472
147,198.48717426470589
148,199.69034926470587
149,200.18127573529412
150,200.13556911764707
151,200.14979338235295
152,200.4392786764706
153,200.9396117647059
154,201.50993897058822
155,201.77355955882354
156,201.83031029411765
157,201.1998286764706
158,200.36990661764705
159,199.29603970588235
160,198.60651764705884
161,198.3391205882353
162,198.1954205882353
163,198.21899411764707
164,195.28299117647057
165,189.0824875
166,189.69894338235295
167,192.2147242647059
168,194.77246470588236
169,196.43502426470587
170,197.6382919117647
171,199.027375
172,199.97085220588235
173,200.28327352941176
174,200.25208897058823
175,200.22924779411764
176,200.7238455882353
177,201.16034264705883
